url,length_url,length_hostname,nb_dots,nb_hyphens,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,http_in_path,status
https://livecentralmethodist-my.sharepoint.com/personal/dhenton_centralmethodist_edu/_layouts/15/WopiFrame.aspx?guestaccesstoken=vm7OYwKd6tXbNeGb6F4rSE1SJraZwWKSz07YeL95PqM=&amp;docid=1_1f7d08135a62e47a19487c47ada16ad67&amp;wdFormId={17961023-54F0-4010-B064-4E027C713CC9}&amp;action=formsubmit&amp;cid=332d7ef6-7fa6-4be8-b941-a92f0589601f,338,38,3,9,4,0,0,7,1,0,4,0,0,0,1,0,phishing
http://confirm.paypal.com-update.complaint-view.billing.activation.dispatched.url.cgi.bin.hostmoderno.com.br/e2dd09bad44d8c8e4443f5ccf246eb40/,142,101,12,2,0,0,0,4,1,0,0,0,0,0,3,0,phishing
http://wwwbetasegura9-viabcpi.com/iniciar-sesion,48,26,1,2,0,0,0,3,1,0,0,0,0,1,1,0,phishing
https://elvin-trade.kz/admin/model/site-verification:google6ed919c64c88a3d9/home/myaccount/vbv.php?websrc=ad3a9d2b11e818978d5ef36c7b424686&amp;dispatched=84&amp;id=1525923727,174,14,2,2,0,0,0,8,2,0,2,0,0,0,0,0,phishing
http://www.thingsicanbuy.com/wp-content/reports/ca.htm,54,21,3,1,0,0,0,5,1,0,0,0,0,1,1,0,phishing
http://gulhasal.com/geo/xlmgeo.php,34,12,2,0,0,0,0,4,1,0,0,0,0,0,1,0,phishing
http://bebegimlebuyuyorum.blog/strongpage/chase2020/chase/login/auth.php?country_x=United%20States&amp;locale-8731002x=E?_US,124,23,2,1,2,0,1,7,1,0,1,0,0,0,0,0,phishing
http://extrategika.com/wp-includes/rest-api/fields/web/,55,15,1,2,0,0,0,7,1,0,0,0,0,0,1,0,phishing
https://azusaltd.com/HC/,24,12,1,0,0,0,0,4,1,0,0,0,0,0,1,0,phishing
http://habbo-furni-free.blogspot.com/,37,29,2,2,0,0,0,3,1,0,0,0,0,0,1,0,phishing
